ID;ZMED;HX;RESIDUE
564;1.01094;1.011;-6.96585e-05
565;1.0319;1.032;-9.74662e-05
566;1.00778;1.008;-0.000218548
567;0.978039;0.972841;0.00519886
568;1.00759;1.00781;-0.0002185
569;1.03137;1.03147;-0.000100122
570;1.00704;1.00726;-0.000219735
571;0.977067;0.971863;0.00520399
572;1.01848;1.01864;-0.000164575
573;0.989009;0.989257;-0.000248218
574;0.953547;0.94822;0.00532672
575;1.07668;1.07698;-0.000299511
576;1.02267;1.02299;-0.000314259
577;0.980531;0.974617;0.00591408
578;1.07402;1.07435;-0.000321172
579;1.01758;1.01787;-0.000293062
580;0.973759;0.967755;0.00600366
581;1.07351;1.07383;-0.000322972
582;1.01683;1.01712;-0.000292546
583;0.973074;0.967063;0.00601148
584;1.01665;1.01694;-0.000292577
585;1.07348;1.0738;-0.000322996
586;1.01679;1.01708;-0.000292558
587;0.973061;0.967049;0.00601163
588;1.07399;1.07431;-0.000321356
589;1.01752;1.01781;-0.000292652
590;0.973703;0.967698;0.00600451
591;1.07385;1.07417;-0.000322235
592;1.01721;1.0175;-0.000290675
593;0.973433;0.967424;0.00600856
594;1.07415;1.07448;-0.00032355
595;1.0172;1.01749;-0.000291972
596;0.973635;0.967621;0.0060143
597;1.0742;1.07452;-0.000323732
598;1.01722;1.01752;-0.000292161
599;0.973671;0.967656;0.00601506
600;1.03882;1.03888;-6.45521e-05
601;1.01809;1.01829;-0.000204318
602;0.990039;0.984905;0.00513423
603;0.995732;0.996009;-0.000277024
604;0.957188;0.957484;-0.000295792
605;0.91273;0.907216;0.00551414
606;1.01816;1.01833;-0.000166142
607;0.98856;0.988809;-0.000248899
608;0.952978;0.947649;0.00532941
609;0.988407;0.988656;-0.000248931
610;1.07543;1.07574;-0.00030952
611;1.0203;1.02061;-0.000304615
612;0.977383;0.971427;0.00595566
613;1.07375;1.07407;-0.000322721
614;1.01718;1.01747;-0.000292505
615;0.9732;0.96719;0.00601009
616;1.07351;1.07383;-0.000322967
617;1.01681;1.0171;-0.000292547
618;0.973079;0.967067;0.00601148
619;1.07543;1.07574;-0.000309522
620;1.03889;1.03926;-0.000367372
621;0.982151;0.982558;-0.000407262
622;0.936843;0.931673;0.00516987
623;0.955834;0.956459;-0.000625092
624;0.896799;0.903411;-0.00661255
625;0.8363;0.926389;-0.0900881
626;1.03883;1.03889;-6.45208e-05
627;1.0181;1.0183;-0.000204305
628;0.99005;0.984916;0.00513416
629;1.07669;1.07699;-0.000299483
630;1.02268;1.023;-0.000314247
631;0.980541;0.974627;0.00591403
